@relation 'AMD.USUSD_Candlestick_1_s_BID_02.01.2018-02.01.2018.Processed4 - Copy'

@attribute time {'02/01/2018 14:30','02/01/2018 14:31','02/01/2018 14:32','02/01/2018 14:33','02/01/2018 14:34','02/01/2018 14:35','02/01/2018 14:36','02/01/2018 14:37','02/01/2018 14:38','02/01/2018 14:39','02/01/2018 14:40','02/01/2018 14:41','02/01/2018 14:42','02/01/2018 14:43','02/01/2018 14:44','02/01/2018 14:45','02/01/2018 14:46','02/01/2018 14:47','02/01/2018 14:48','02/01/2018 14:49','02/01/2018 14:50','02/01/2018 14:51','02/01/2018 14:52','02/01/2018 14:53','02/01/2018 14:54','02/01/2018 14:55','02/01/2018 14:56','02/01/2018 14:57','02/01/2018 14:58','02/01/2018 14:59','02/01/2018 15:00','02/01/2018 15:01','02/01/2018 15:02','02/01/2018 15:03','02/01/2018 15:04','02/01/2018 15:05','02/01/2018 15:06','02/01/2018 15:07','02/01/2018 15:08','02/01/2018 15:09','02/01/2018 15:10','02/01/2018 15:11','02/01/2018 15:12','02/01/2018 15:13','02/01/2018 15:14','02/01/2018 15:15','02/01/2018 15:16','02/01/2018 15:17','02/01/2018 15:18','02/01/2018 15:19','02/01/2018 15:20','02/01/2018 15:21','02/01/2018 15:22','02/01/2018 15:23','02/01/2018 15:24','02/01/2018 15:25','02/01/2018 15:26','02/01/2018 15:27','02/01/2018 15:28','02/01/2018 15:29','02/01/2018 15:30','02/01/2018 15:31','02/01/2018 15:32','02/01/2018 15:33','02/01/2018 15:34','02/01/2018 15:35','02/01/2018 15:36','02/01/2018 15:37','02/01/2018 15:38','02/01/2018 15:39','02/01/2018 15:40','02/01/2018 15:41','02/01/2018 15:42','02/01/2018 15:43','02/01/2018 15:44','02/01/2018 15:45','02/01/2018 15:46','02/01/2018 15:47','02/01/2018 15:48','02/01/2018 15:49','02/01/2018 15:50','02/01/2018 15:51','02/01/2018 15:52','02/01/2018 15:53','02/01/2018 15:54','02/01/2018 15:55','02/01/2018 15:56','02/01/2018 15:57','02/01/2018 15:58','02/01/2018 15:59','02/01/2018 16:00','02/01/2018 16:01','02/01/2018 16:02','02/01/2018 16:03','02/01/2018 16:04','02/01/2018 16:05','02/01/2018 16:06','02/01/2018 16:07','02/01/2018 16:08','02/01/2018 16:09','02/01/2018 16:10','02/01/2018 16:11','02/01/2018 16:12','02/01/2018 16:13','02/01/2018 16:14','02/01/2018 16:15','02/01/2018 16:16','02/01/2018 16:17','02/01/2018 16:18','02/01/2018 16:19','02/01/2018 16:20','02/01/2018 16:21','02/01/2018 16:22','02/01/2018 16:23','02/01/2018 16:24','02/01/2018 16:25','02/01/2018 16:26','02/01/2018 16:27','02/01/2018 16:28','02/01/2018 16:29','02/01/2018 16:30','02/01/2018 16:31','02/01/2018 16:32','02/01/2018 16:33','02/01/2018 16:34','02/01/2018 16:35','02/01/2018 16:36','02/01/2018 16:37','02/01/2018 16:38','02/01/2018 16:39','02/01/2018 16:40','02/01/2018 16:41','02/01/2018 16:42','02/01/2018 16:43','02/01/2018 16:44','02/01/2018 16:45','02/01/2018 16:46','02/01/2018 16:47','02/01/2018 16:48','02/01/2018 16:49','02/01/2018 16:50','02/01/2018 16:51','02/01/2018 16:52','02/01/2018 16:53','02/01/2018 16:54','02/01/2018 16:55','02/01/2018 16:56','02/01/2018 16:57','02/01/2018 16:58','02/01/2018 16:59','02/01/2018 17:00','02/01/2018 17:01','02/01/2018 17:02','02/01/2018 17:03','02/01/2018 17:04','02/01/2018 17:05','02/01/2018 17:06','02/01/2018 17:07','02/01/2018 17:08','02/01/2018 17:09','02/01/2018 17:10','02/01/2018 17:11','02/01/2018 17:12','02/01/2018 17:13','02/01/2018 17:14','02/01/2018 17:15','02/01/2018 17:16','02/01/2018 17:17','02/01/2018 17:18','02/01/2018 17:19','02/01/2018 17:20','02/01/2018 17:21','02/01/2018 17:22','02/01/2018 17:23','02/01/2018 17:24','02/01/2018 17:25','02/01/2018 17:26','02/01/2018 17:27','02/01/2018 17:28','02/01/2018 17:29','02/01/2018 17:30','02/01/2018 17:31','02/01/2018 17:32','02/01/2018 17:33','02/01/2018 17:34','02/01/2018 17:35','02/01/2018 17:36','02/01/2018 17:37','02/01/2018 17:38','02/01/2018 17:39','02/01/2018 17:40','02/01/2018 17:41','02/01/2018 17:42','02/01/2018 17:43','02/01/2018 17:44','02/01/2018 17:45','02/01/2018 17:46','02/01/2018 17:47','02/01/2018 17:48','02/01/2018 17:49','02/01/2018 17:50','02/01/2018 17:51','02/01/2018 17:52','02/01/2018 17:53','02/01/2018 17:54','02/01/2018 17:55','02/01/2018 17:56','02/01/2018 17:57','02/01/2018 17:58','02/01/2018 17:59','02/01/2018 18:00','02/01/2018 18:01','02/01/2018 18:02','02/01/2018 18:03','02/01/2018 18:04','02/01/2018 18:05','02/01/2018 18:06','02/01/2018 18:07','02/01/2018 18:08','02/01/2018 18:09','02/01/2018 18:10','02/01/2018 18:11','02/01/2018 18:12','02/01/2018 18:13','02/01/2018 18:14','02/01/2018 18:15','02/01/2018 18:16','02/01/2018 18:17','02/01/2018 18:18','02/01/2018 18:19','02/01/2018 18:20','02/01/2018 18:21','02/01/2018 18:22','02/01/2018 18:23','02/01/2018 18:24','02/01/2018 18:25','02/01/2018 18:26','02/01/2018 18:27','02/01/2018 18:28','02/01/2018 18:30','02/01/2018 18:31','02/01/2018 18:32','02/01/2018 18:33','02/01/2018 18:34','02/01/2018 18:35','02/01/2018 18:36','02/01/2018 18:37','02/01/2018 18:38','02/01/2018 18:39','02/01/2018 18:40','02/01/2018 18:41','02/01/2018 18:42','02/01/2018 18:43','02/01/2018 18:44','02/01/2018 18:45','02/01/2018 18:46','02/01/2018 18:47','02/01/2018 18:48','02/01/2018 18:49','02/01/2018 18:50','02/01/2018 18:51','02/01/2018 18:52','02/01/2018 18:53','02/01/2018 18:54','02/01/2018 18:55','02/01/2018 18:56','02/01/2018 18:57','02/01/2018 18:58','02/01/2018 18:59','02/01/2018 19:00','02/01/2018 19:01','02/01/2018 19:02','02/01/2018 19:03','02/01/2018 19:04','02/01/2018 19:05','02/01/2018 19:06','02/01/2018 19:07','02/01/2018 19:08','02/01/2018 19:09','02/01/2018 19:10','02/01/2018 19:11','02/01/2018 19:12','02/01/2018 19:13','02/01/2018 19:14','02/01/2018 19:15','02/01/2018 19:16','02/01/2018 19:17','02/01/2018 19:18','02/01/2018 19:19','02/01/2018 19:20','02/01/2018 19:21','02/01/2018 19:22','02/01/2018 19:23','02/01/2018 19:24','02/01/2018 19:25','02/01/2018 19:26','02/01/2018 19:27','02/01/2018 19:28','02/01/2018 19:29','02/01/2018 19:30','02/01/2018 19:31','02/01/2018 19:32','02/01/2018 19:33','02/01/2018 19:34','02/01/2018 19:35','02/01/2018 19:36','02/01/2018 19:37','02/01/2018 19:38','02/01/2018 19:39','02/01/2018 19:40','02/01/2018 19:41','02/01/2018 19:42','02/01/2018 19:43','02/01/2018 19:44','02/01/2018 19:45','02/01/2018 19:46','02/01/2018 19:47','02/01/2018 19:48','02/01/2018 19:49','02/01/2018 19:50','02/01/2018 19:51','02/01/2018 19:52','02/01/2018 19:53','02/01/2018 19:54','02/01/2018 19:55','02/01/2018 19:56','02/01/2018 19:57','02/01/2018 19:58','02/01/2018 19:59','02/01/2018 20:00','02/01/2018 20:01','02/01/2018 20:02','02/01/2018 20:03','02/01/2018 20:04','02/01/2018 20:05','02/01/2018 20:06','02/01/2018 20:07','02/01/2018 20:08','02/01/2018 20:09','02/01/2018 20:10','02/01/2018 20:11','02/01/2018 20:12','02/01/2018 20:13','02/01/2018 20:14','02/01/2018 20:15','02/01/2018 20:16','02/01/2018 20:17','02/01/2018 20:18','02/01/2018 20:19','02/01/2018 20:20','02/01/2018 20:21','02/01/2018 20:22','02/01/2018 20:23','02/01/2018 20:24','02/01/2018 20:25','02/01/2018 20:26','02/01/2018 20:27','02/01/2018 20:28','02/01/2018 20:29','02/01/2018 20:30','02/01/2018 20:31','02/01/2018 20:32','02/01/2018 20:33','02/01/2018 20:34','02/01/2018 20:35','02/01/2018 20:36','02/01/2018 20:37','02/01/2018 20:38','02/01/2018 20:39','02/01/2018 20:40','02/01/2018 20:41','02/01/2018 20:42','02/01/2018 20:43','02/01/2018 20:44','02/01/2018 20:45','02/01/2018 20:46','02/01/2018 20:47','02/01/2018 20:48','02/01/2018 20:49','02/01/2018 20:50','02/01/2018 20:51','02/01/2018 20:52','02/01/2018 20:53','02/01/2018 20:54','02/01/2018 20:55','02/01/2018 20:56','02/01/2018 20:57','02/01/2018 20:58','02/01/2018 20:59'}
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute colour {neither,black,white}
@attribute candle {doji,blackMaruboxu,whiteMaruboxu,none}
@attribute 'moving ' numeric
@attribute rsi numeric
@attribute percentile numeric
@attribute quartile numeric

@data
'02/01/2018 14:30',10.407,10.407,10.407,10.407,0.0002,neither,doji,10.4075,99.990393,1,1
'02/01/2018 14:30',10.408,10.408,10.402,10.402,0.0225,black,blackMaruboxu,10.405667,99.942385,1,1
'02/01/2018 14:30',10.403,10.403,10.403,10.403,0.0075,neither,doji,10.405,99.942391,1,1
'02/01/2018 14:30',10.399,10.399,10.399,10.399,0.0075,neither,doji,10.4038,99.904021,1,1
'02/01/2018 14:30',10.399,10.399,10.399,10.399,0.015,neither,doji,10.402,9.090909,1,1
'02/01/2018 14:30',10.403,10.403,10.403,10.403,0.0075,neither,doji,10.4012,35.714286,1,1
'02/01/2018 14:30',10.399,10.399,10.399,10.399,0.0075,neither,doji,10.4006,38.461538,1,1
'02/01/2018 14:30',10.399,10.403,10.399,10.403,0.015,white,whiteMaruboxu,10.4006,50,1,1
'02/01/2018 14:30',10.407,10.407,10.407,10.407,0.0079,neither,doji,10.4022,75,1,1
'02/01/2018 14:30',10.403,10.403,10.403,10.403,0.0075,neither,doji,10.403,60,1,1
'02/01/2018 14:30',10.398,10.398,10.387,10.387,0.0326,black,blackMaruboxu,10.3998,25,1,1
'02/01/2018 14:30',10.388,10.388,10.378,10.378,0.0205,black,blackMaruboxu,10.3956,21.621622,1,1
'02/01/2018 14:30',10.377,10.377,10.368,10.368,0.0171,black,blackMaruboxu,10.3886,9.302326,1,1
'02/01/2018 14:30',10.371,10.371,10.371,10.371,0.0075,neither,doji,10.3814,7.142857,1,1
'02/01/2018 14:30',10.377,10.378,10.377,10.377,0.0158,neither,doji,10.3762,20.454545,1,1
'02/01/2018 14:30',10.37,10.37,10.37,10.37,0.0075,neither,doji,10.3728,25.714286,1,1
'02/01/2018 14:30',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3732,52.777778,1,1
'02/01/2018 14:30',10.382,10.382,10.382,10.382,0.0075,neither,doji,10.376,75,1,1
'02/01/2018 14:30',10.378,10.378,10.378,10.378,0.0247,neither,doji,10.3774,62.068966,1,1
'02/01/2018 14:30',10.379,10.379,10.379,10.379,0.0075,neither,doji,10.3778,54.166667,1,1
'02/01/2018 14:30',10.379,10.379,10.379,10.379,0.0075,neither,doji,10.3796,76.470588,1,1
'02/01/2018 14:30',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3796,50,1,1
'02/01/2018 14:30',10.378,10.378,10.378,10.378,0.0075,neither,doji,10.3788,25,1,1
'02/01/2018 14:30',10.388,10.388,10.388,10.388,0.0004,neither,doji,10.3808,85.714286,1,1
'02/01/2018 14:30',10.392,10.392,10.392,10.392,0.0075,neither,doji,10.3834,88.235294,1,1
'02/01/2018 14:30',10.398,10.398,10.398,10.398,0.0231,neither,doji,10.3872,91.304348,1,1
'02/01/2018 14:30',10.402,10.402,10.402,10.402,0.0075,neither,doji,10.3916,92.307692,1,1
'02/01/2018 14:30',10.398,10.398,10.398,10.398,0.0312,neither,doji,10.3956,85.714286,1,1
'02/01/2018 14:30',10.389,10.389,10.389,10.389,0.0075,neither,doji,10.3958,51.851852,1,1
'02/01/2018 14:30',10.388,10.388,10.381,10.381,0.008,black,blackMaruboxu,10.3936,32.258065,1,1
'02/01/2018 14:30',10.381,10.381,10.381,10.381,0.0075,neither,doji,10.3902,16,1,1
'02/01/2018 14:30',10.379,10.379,10.377,10.377,0.0192,black,blackMaruboxu,10.3852,0,1,1
'02/01/2018 14:30',10.378,10.378,10.378,10.378,0.0013,neither,doji,10.3812,4.545455,1,1
'02/01/2018 14:31',10.378,10.378,10.378,10.378,0.0075,neither,doji,10.379,7.692308,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0075,neither,doji,10.3744,4,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0156,neither,doji,10.3696,3.846154,1,1
'02/01/2018 14:31',10.367,10.367,10.367,10.367,0.0011,neither,doji,10.3676,34.375,1,1
'02/01/2018 14:31',10.368,10.368,10.368,10.368,0.0075,neither,doji,10.3656,34.375,1,1
'02/01/2018 14:31',10.367,10.367,10.362,10.362,0.0077,black,blackMaruboxu,10.3624,28.947368,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0004,neither,doji,10.3624,50,1,1
'02/01/2018 14:31',10.357,10.361,10.357,10.361,0.0223,white,whiteMaruboxu,10.3632,58.333333,1,1
'02/01/2018 14:31',10.361,10.361,10.361,10.361,0.0075,neither,doji,10.362,28.571429,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.011,neither,doji,10.3598,17.647059,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0044,neither,doji,10.359,33.333333,1,1
'02/01/2018 14:31',10.359,10.359,10.359,10.359,0.0075,neither,doji,10.3592,55.555556,1,1
'02/01/2018 14:31',10.357,10.358,10.348,10.358,0.0461,white,none,10.3586,28.571429,1,1
'02/01/2018 14:31',10.362,10.362,10.362,10.362,0.0075,neither,doji,10.3588,54.545455,1,1
'02/01/2018 14:31',10.357,10.358,10.357,10.358,0.0131,white,whiteMaruboxu,10.359,54.545455,1,1
'02/01/2018 14:31',10.373,10.373,10.373,10.373,0.0075,neither,doji,10.362,80,1,1
'02/01/2018 14:31',10.378,10.378,10.378,10.378,0.015,neither,doji,10.3658,82.758621,1,1
'02/01/2018 14:31',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3702,86.666667,1,1
'02/01/2018 14:31',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3738,84.615385,1,1
'02/01/2018 14:31',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3782,100,1,1
'02/01/2018 14:31',10.383,10.383,10.383,10.383,0.0075,neither,doji,10.3802,100,1,1
'02/01/2018 14:31',10.381,10.381,10.381,10.381,0.0075,neither,doji,10.3808,71.428571,1,1
'02/01/2018 14:31',10.378,10.378,10.378,10.378,0.0009,neither,doji,10.3804,37.5,1,1
'02/01/2018 14:31',10.38,10.38,10.38,10.38,0.0075,neither,doji,10.3804,50,1,1
'02/01/2018 14:31',10.378,10.378,10.377,10.377,0.0019,black,blackMaruboxu,10.3798,38.461538,1,1
'02/01/2018 14:31',10.378,10.378,10.378,10.378,0.001,neither,doji,10.3788,27.272727,1,1
'02/01/2018 14:31',10.377,10.377,10.377,10.377,0.001,neither,doji,10.378,30,1,1
'02/01/2018 14:31',10.368,10.368,10.368,10.368,0.0114,neither,doji,10.376,18.75,1,1
'02/01/2018 14:31',10.376,10.376,10.376,10.376,0.0075,neither,doji,10.3752,40.909091,1,1
'02/01/2018 14:31',10.367,10.367,10.367,10.367,0.0117,neither,doji,10.3732,32.142857,1,1
'02/01/2018 14:31',10.37,10.37,10.37,10.37,0.0075,neither,doji,10.3716,36.666667,1,1
'02/01/2018 14:31',10.367,10.367,10.367,10.367,0.0114,neither,doji,10.3696,34.375,1,1
'02/01/2018 14:31',10.369,10.369,10.369,10.369,0.0075,neither,doji,10.3698,52,1,1
'02/01/2018 14:31',10.37,10.37,10.37,10.37,0.0075,neither,doji,10.3686,33.333333,1,1
'02/01/2018 14:31',10.368,10.368,10.358,10.358,0.0087,black,blackMaruboxu,10.3668,28.571429,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0002,neither,doji,10.3644,16.666667,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0002,neither,doji,10.3624,18.75,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0075,neither,doji,10.3602,13.333333,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0104,neither,doji,10.3576,6.666667,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0002,neither,doji,10.3576,50,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0104,neither,doji,10.3574,40,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0104,neither,doji,10.3574,50,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0002,neither,doji,10.3574,50,1,1
'02/01/2018 14:31',10.357,10.357,10.357,10.357,0.0105,neither,doji,10.3574,50,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0004,neither,doji,10.3574,50,1,1
'02/01/2018 14:31',10.358,10.358,10.358,10.358,0.0004,neither,doji,10.3576,66.666667,1,1
'02/01/2018 14:32',10.358,10.358,10.358,10.358,0.0106,neither,doji,10.3578,66.666667,1,1
'02/01/2018 14:32',10.363,10.363,10.358,10.358,0.0184,black,blackMaruboxu,10.3578,50,1,1
'02/01/2018 14:32',10.357,10.358,10.357,10.358,0.015,white,whiteMaruboxu,10.358,100,1,1
'02/01/2018 14:32',10.354,10.354,10.354,10.354,0.0075,neither,doji,10.3572,0,1,1
'02/01/2018 14:32',10.354,10.354,10.354,10.354,0.0075,neither,doji,10.3564,0,1,1
'02/01/2018 14:32',10.352,10.352,10.352,10.352,0.0075,neither,doji,10.3552,0,1,1
