Local time,Open,High,Low,Close,Volume
18.11.2019 14:30:00.200 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:00.550 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:01.300 GMT-0000,38.657,38.657,38.657,38.657,0.0008
18.11.2019 14:30:01.400 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:01.450 GMT-0000,38.677,38.677,38.677,38.677,0.002
18.11.2019 14:30:01.500 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:02.300 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:02.350 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.400 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:02.450 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:02.550 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:02.600 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.650 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.800 GMT-0000,38.658,38.658,38.658,38.658,0.002
18.11.2019 14:30:02.900 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:03.000 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:03.050 GMT-0000,38.688,38.688,38.688,38.688,0.002
18.11.2019 14:30:03.100 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:03.150 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:03.350 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:03.500 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:03.550 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:03.650 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:03.700 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:03.800 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:03.850 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:04.050 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:04.500 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:04.550 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:04.650 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:04.800 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:05.050 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:05.100 GMT-0000,38.678,38.678,38.678,38.678,0.002
18.11.2019 14:30:05.300 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:05.850 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:05.900 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:06.250 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:06.300 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:06.850 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:07.000 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:07.150 GMT-0000,38.667,38.667,38.667,38.667,0.0008
18.11.2019 14:30:07.200 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.350 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:07.400 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.750 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.850 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:07.900 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:08.450 GMT-0000,38.647,38.647,38.647,38.647,0.0008
18.11.2019 14:30:08.500 GMT-0000,38.637,38.637,38.637,38.637,0.002
18.11.2019 14:30:08.950 GMT-0000,38.638,38.638,38.638,38.638,0.002
