Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:30:00.210 GMT-0000,39.092,38.638000000000005,0.002,0.0008
18.11.2019 14:30:00.558 GMT-0000,39.092,38.598000000000006,0,0.0008
18.11.2019 14:30:01.313 GMT-0000,39.093,38.657,0.002,0.0008
18.11.2019 14:30:01.413 GMT-0000,39.092,38.598000000000006,0,0.0008
18.11.2019 14:30:01.464 GMT-0000,39.093,38.677,0.002,0.002
18.11.2019 14:30:01.514 GMT-0000,39.092,38.598000000000006,0.002,0.002
18.11.2019 14:30:02.337 GMT-0000,39.093,38.657,0.002,0.002
18.11.2019 14:30:02.388 GMT-0000,39.092,38.598000000000006,0,0.0008
18.11.2019 14:30:02.438 GMT-0000,39.092,38.658,0,0.0008
18.11.2019 14:30:02.488 GMT-0000,39.092,38.598000000000006,0.002,0.002
18.11.2019 14:30:02.580 GMT-0000,39.092,38.688,0.002,0.0008
18.11.2019 14:30:02.630 GMT-0000,39.092,38.598000000000006,0,0.0008
18.11.2019 14:30:02.690 GMT-0000,38.758,38.598000000000006,0,0.0008
18.11.2019 14:30:02.838 GMT-0000,39.092,38.658,0.002,0.002
18.11.2019 14:30:02.913 GMT-0000,38.803000000000004,38.658,0,0.0008
18.11.2019 14:30:03.016 GMT-0000,38.802,38.708000000000006,0,0.0008
18.11.2019 14:30:03.066 GMT-0000,38.802,38.688,0.002,0.002
18.11.2019 14:30:03.116 GMT-0000,38.763000000000005,38.687,0.002,0.002
18.11.2019 14:30:03.167 GMT-0000,38.763000000000005,38.667,0.002,0.002
18.11.2019 14:30:03.360 GMT-0000,38.752,38.688,0,0.0008
18.11.2019 14:30:03.515 GMT-0000,38.703,38.688,0,0.0008
18.11.2019 14:30:03.566 GMT-0000,38.711999999999996,38.668,0,0.0008
18.11.2019 14:30:03.667 GMT-0000,38.743,38.687,0.002,0.002
18.11.2019 14:30:03.719 GMT-0000,38.732,38.687,0,0.0008
18.11.2019 14:30:03.810 GMT-0000,38.732,38.668,0,0.0008
18.11.2019 14:30:03.860 GMT-0000,38.732,38.688,0,0.0008
18.11.2019 14:30:04.065 GMT-0000,38.732,38.698,0.002,0.0008
18.11.2019 14:30:04.528 GMT-0000,38.711999999999996,38.698,0,0.0008
18.11.2019 14:30:04.580 GMT-0000,38.713,38.687,0.002,0.002
18.11.2019 14:30:04.680 GMT-0000,38.723000000000006,38.687,0.002,0.002
