Local time,Open,High,Low,Close,Volume
03.01.2018 14:30:00.000 GMT-0000,11.588,11.598,11.588,11.598,0.0189
03.01.2018 14:30:01.000 GMT-0000,11.618,11.618,11.608,11.609,0.0201
03.01.2018 14:30:02.000 GMT-0000,11.628,11.637,11.628,11.637,0.0063999999999999994
03.01.2018 14:30:03.000 GMT-0000,11.638,11.638,11.628,11.630,0.0238
03.01.2018 14:30:04.000 GMT-0000,11.638,11.638,11.628,11.632,0.007899999999999999
03.01.2018 14:30:05.000 GMT-0000,11.637,11.638,11.634,11.637,0.0021000000000000003
03.01.2018 14:30:06.000 GMT-0000,11.637,11.643,11.637,11.637,0.028299999999999995
03.01.2018 14:30:07.000 GMT-0000,11.648,11.648,11.641,11.641,0.015
03.01.2018 14:30:09.000 GMT-0000,11.637,11.637,11.619,11.628,0.023999999999999997
03.01.2018 14:30:10.000 GMT-0000,11.627,11.627,11.610,11.619,0.022499999999999996
03.01.2018 14:30:11.000 GMT-0000,11.629,11.629,11.601,11.618,0.0338
03.01.2018 14:30:12.000 GMT-0000,11.617,11.617,11.617,11.617,0.021
03.01.2018 14:30:13.000 GMT-0000,11.611,11.617,11.611,11.611,0.025399999999999995
03.01.2018 14:30:15.000 GMT-0000,11.607,11.618,11.607,11.618,0.0303
03.01.2018 14:30:16.000 GMT-0000,11.622,11.622,11.607,11.611,0.03
03.01.2018 14:30:17.000 GMT-0000,11.607,11.608,11.607,11.608,0.0104
03.01.2018 14:30:18.000 GMT-0000,11.607,11.618,11.607,11.610,0.0281
03.01.2018 14:30:19.000 GMT-0000,11.617,11.627,11.617,11.627,0.022499999999999996
03.01.2018 14:30:20.000 GMT-0000,11.626,11.626,11.610,11.618,0.0184
03.01.2018 14:30:21.000 GMT-0000,11.627,11.627,11.627,11.627,0.0075
03.01.2018 14:30:22.000 GMT-0000,11.619,11.642,11.619,11.642,0.0261
03.01.2018 14:30:23.000 GMT-0000,11.646,11.648,11.646,11.648,0.017599999999999998
03.01.2018 14:30:24.000 GMT-0000,11.656,11.658,11.656,11.658,0.015
03.01.2018 14:30:25.000 GMT-0000,11.658,11.668,11.658,11.668,0.014
03.01.2018 14:30:26.000 GMT-0000,11.668,11.678,11.668,11.677,0.0495
03.01.2018 14:30:27.000 GMT-0000,11.677,11.687,11.677,11.687,0.022499999999999996
03.01.2018 14:30:28.000 GMT-0000,11.687,11.688,11.678,11.688,0.020399999999999998
03.01.2018 14:30:29.000 GMT-0000,11.687,11.687,11.687,11.687,0.0141
03.01.2018 14:30:30.000 GMT-0000,11.688,11.698,11.688,11.691,0.0206
03.01.2018 14:30:31.000 GMT-0000,11.698,11.698,11.698,11.698,0.0014
03.01.2018 14:30:32.000 GMT-0000,11.697,11.697,11.697,11.697,0.0119
03.01.2018 14:30:33.000 GMT-0000,11.698,11.707,11.697,11.707,0.0386
03.01.2018 14:30:34.000 GMT-0000,11.717,11.727,11.707,11.708,0.06470000000000001
03.01.2018 14:30:35.000 GMT-0000,11.727,11.728,11.718,11.728,0.015399999999999999
03.01.2018 14:30:36.000 GMT-0000,11.717,11.717,11.717,11.717,0.0115
03.01.2018 14:30:37.000 GMT-0000,11.728,11.728,11.717,11.718,0.0206
03.01.2018 14:30:38.000 GMT-0000,11.728,11.738,11.728,11.738,0.007599999999999998
03.01.2018 14:30:39.000 GMT-0000,11.738,11.738,11.720,11.720,0.018
03.01.2018 14:30:40.000 GMT-0000,11.728,11.728,11.727,11.727,0.0101
03.01.2018 14:30:41.000 GMT-0000,11.728,11.728,11.712,11.712,0.022499999999999996
03.01.2018 14:30:42.000 GMT-0000,11.728,11.728,11.728,11.728,0.0109
03.01.2018 14:30:43.000 GMT-0000,11.731,11.731,11.731,11.731,0.0075
03.01.2018 14:30:44.000 GMT-0000,11.728,11.728,11.728,11.728,0.0136
03.01.2018 14:30:46.000 GMT-0000,11.733,11.738,11.733,11.738,0.0232
03.01.2018 14:30:47.000 GMT-0000,11.737,11.738,11.737,11.738,0.0029000000000000002
03.01.2018 14:30:48.000 GMT-0000,11.737,11.737,11.737,11.737,0.0009
03.01.2018 14:30:49.000 GMT-0000,11.738,11.738,11.738,11.738,0.0008
03.01.2018 14:30:50.000 GMT-0000,11.737,11.737,11.737,11.737,0.0007
03.01.2018 14:30:51.000 GMT-0000,11.738,11.738,11.738,11.738,0.0007
03.01.2018 14:30:52.000 GMT-0000,11.737,11.737,11.737,11.737,0.0019
03.01.2018 14:30:53.000 GMT-0000,11.733,11.733,11.707,11.707,0.0194
03.01.2018 14:30:54.000 GMT-0000,11.708,11.708,11.707,11.707,0.0152
03.01.2018 14:30:55.000 GMT-0000,11.718,11.728,11.718,11.718,0.0477
03.01.2018 14:30:56.000 GMT-0000,11.728,11.728,11.722,11.722,0.015
03.01.2018 14:30:57.000 GMT-0000,11.728,11.728,11.728,11.728,0.0103
03.01.2018 14:30:58.000 GMT-0000,11.721,11.728,11.721,11.722,0.022499999999999996
03.01.2018 14:30:59.000 GMT-0000,11.728,11.728,11.727,11.727,0.011200000000000002
03.01.2018 14:31:00.000 GMT-0000,11.728,11.738,11.728,11.738,0.007799999999999999
03.01.2018 14:31:01.000 GMT-0000,11.728,11.747,11.717,11.741,0.0439
